順位	ナンバー	氏名	年齢	所属	記録	スイム記録	バイク記録	ラン記録
1	63	辻 巨樹	39	(株)ハーフ・センチュリーモア	1:25:23	0:17:49	0:49:48	0:17:46
2	86	西川 晋広	22	近大トライアスロン	1:26:58	0:17:00	0:50:39	0:19:19
3	129	齊藤 哲生	43		1:29:14	0:17:36	0:54:17	0:17:21
4	98	村枝 雅史	21	KUT	1:29:23	0:16:41	0:53:12	0:19:30
5	92	阿部 源	15	チームしまなみ	1:31:33	0:22:11	0:52:12	0:17:10
6	101	村上 純平	26		1:31:53	0:20:48	0:52:17	0:18:48
7	76	埴岡 大晃	20		1:32:12	0:17:24	0:55:06	0:19:42
8	59	福本 陽一	35	夢限大	1:32:22	0:17:51	0:54:22	0:20:09
9	104	下崎 怜	30		1:33:03	0:22:53	0:51:56	0:18:14
10	11	安松 健太郎	39		1:35:37	0:18:40	0:57:47	0:19:10
11	113	野口 大志	41	チームエルモす	1:35:54	0:23:50	0:54:01	0:18:03
12	94	有山 宜衡	20		1:36:05	0:23:02	0:55:54	0:17:09
13	47	飯田 哲士	20	桃山学院大学水泳部	1:36:15	0:17:08	0:59:22	0:19:45
14	41	片桐 竜也	47		1:37:22	0:22:38	0:55:46	0:18:58
15	74	原田 享	43		1:38:09	0:21:19	0:57:36	0:19:14
16	19	久継 聡	44	LUCKS	1:38:17	0:20:16	0:56:30	0:21:31
17	22	志水 宏行	32		1:38:41	0:22:24	0:55:31	0:20:46
18	71	有本 啓太	33		1:39:19	0:23:26	0:58:02	0:17:51
19	16	小椋 宏一	25		1:40:38	0:20:25	0:56:16	0:23:57
20	49	岡本 迅司	17		1:40:58	0:22:54	0:56:21	0:21:43
21	95	谷村 拓哉	20	京都橘大学	1:40:58	0:23:37	0:57:33	0:19:48
22	15	吉村 崇汰	17	challenger	1:41:21	0:20:26	1:00:34	0:20:21
23	110	田中 識章	37		1:41:46	0:23:10	0:58:08	0:20:28
24	132	小路 邦博	43		1:42:47	0:22:58	1:00:13	0:19:36
25	105	喜多 秀樹	31		1:43:13	0:18:33	0:59:22	0:25:18
26	102	上妻 卓矢	26	AVANCE PLUS	1:43:43	0:23:52	0:53:35	0:26:16
27	28	法田 哲	38		1:45:27	0:22:29	1:01:20	0:21:38
28	77	木津田 礼	44	ＨＴＧ	1:46:32	0:22:43	0:59:18	0:24:31
29	54	民部 晏基	19		1:47:25	0:26:32	0:59:39	0:21:14
30	107	清水 隆司	33	岡山村田製作所自転車同好会	1:49:04	0:25:40	0:57:12	0:26:12
31	24	神末 怜	26		1:49:25	0:24:29	1:02:29	0:22:27
32	8	山本 義夫	57		1:49:30	0:29:30	0:57:11	0:22:49
33	120	末廣 聡	52	teamK	1:49:52	0:26:01	1:00:09	0:23:42
34	79	流田 陽豊	40		1:50:24	0:28:46	0:57:35	0:24:03
35	93	泉 慎平	18		1:51:17	0:31:32	1:00:48	0:18:57
36	85	中尾 誠	43		1:52:16	0:22:12	1:01:57	0:28:07
37	139	橋本 光太郎	26		1:52:22	0:34:43	0:57:34	0:20:05
38	4	吉益 正博	57		1:52:23	0:23:54	0:59:57	0:28:32
39	69	三谷 光雄	67		1:52:31	0:22:11	1:04:15	0:26:05
40	61	嶋田 一幸	53		1:52:59	0:26:20	1:02:20	0:24:19
41	117	庄 昌彦	49	えびらぶ	1:53:14	0:32:16	0:58:38	0:22:20
42	26	石川 朋幸	33		1:53:54	0:28:24	0:59:08	0:26:22
43	5	毛利 力	63		1:54:10	0:21:54	1:03:07	0:29:09
